6 0 1 5 8 8 , 北 辰 实 业
3 0 0 4 5 8 , 全 志 科 技
0 0 2 5 2 5 , 胜 景 山 河
6 0 0 6 6 5 , 天 地 源
6 0 1 0 0 7 , 金 陵 饭 店
6 0 0 1 9 0 , 锦 州 港
0 0 2 2 6 8 , 卫 士 通
0 0 0 0 4 2 , 中 洲 控 股
0 0 2 3 3 8 , 奥 普 光 电
6 0 0 2 8 1 , 太 化 股 份
0 0 2 2 3 2 , 启 明 信 息
0 0 2 7 0 3 , 浙 江 世 宝
6 0 0 7 8 1 , 辅 仁 药 业
6 0 0 9 6 9 , 郴 电 国 际
6 0 0 8 8 9 , 南 京 化 纤
0 0 0 5 7 0 , 苏 常 柴 A
6 0 0 2 7 8 , 东 方 创 业
0 0 2 0 2 9 , 七 匹 狼
0 0 0 6 5 5 , 金 岭 矿 业
6 0 0 8 4 1 , 上 柴 股 份
0 0 2 0 2 2 , 科 华 生 物
0 0 0 9 8 8 , 华 工 科 技
6 0 0 4 4 6 , 金 证 股 份
6 0 0 7 8 8 , * S T 达 曼
0 0 0 6 1 3 , 大 东 海 A
0 0 0 5 6 8 , 泸 州 老 窖
0 0 0 8 3 6 , 鑫 茂 科 技
0 0 2 3 1 7 , 众 生 药 业
3 0 0 3 0 5 , 裕 兴 股 份
6 0 0 6 3 7 , 东 方 明 珠
0 0 0 0 3 4 , 深 信 泰 丰
0 0 2 6 7 9 , 福 建 金 森
0 0 0 8 1 3 , 天 山 纺 织
0 0 0 0 0 5 , 世 纪 星 源
6 0 0 6 5 2 , 游 久 游 戏
0 0 2 6 5 8 , 雪 迪 龙
0 0 0 5 3 4 , 万 泽 股 份
6 0 3 0 2 2 , 新 通 联
0 0 2 7 2 7 , 一 心 堂
6 0 0 7 6 7 , 运 盛 医 疗
0 0 0 8 0 7 , 云 铝 股 份
0 0 2 0 6 0 , 粤 水 电
0 0 0 9 5 3 , 河 池 化 工
6 0 3 6 1 1 , 诺 力 股 份
0 0 0 1 5 5 , * S T 川 化
0 0 2 4 6 0 , 赣 锋 锂 业
6 0 0 0 1 1 , 华 能 国 际
0 0 2 4 2 0 , 毅 昌 股 份
6 0 0 1 5 1 , 航 天 机 电
0 0 2 3 4 1 , 新 纶 科 技
6 0 0 3 7 1 , 万 向 德 农
3 0 0 3 3 4 , 津 膜 科 技
3 0 0 0 9 9 , 尤 洛 卡
3 0 0 4 4 1 , 鲍 斯 股 份
0 0 0 8 3 9 , 中 信 国 安
0 0 2 2 0 3 , 海 亮 股 份
6 0 0 2 3 4 , 山 水 文 化
6 0 0 6 6 7 , 太 极 实 业
6 0 0 0 0 1 , 邯 郸 钢 铁
0 0 2 2 4 5 , 澳 洋 顺 昌
0 0 0 7 3 8 , 中 航 动 控
2 0 0 6 1 3 , 大 东 海 B
0 0 2 3 1 5 , 焦 点 科 技
0 0 2 6 7 0 , 华 声 股 份
3 0 0 3 3 5 , 迪 森 股 份
0 0 2 2 7 6 , 万 马 股 份
3 0 0 4 6 5 , 高 伟 达
0 0 0 0 2 4 , 招 商 地 产
6 0 0 2 7 2 , 开 开 实 业
6 0 0 2 3 8 , 海 南 椰 岛
0 0 2 4 8 2 , 广 田 股 份
3 0 0 4 7 6 , 胜 宏 科 技
0 0 2 4 5 7 , 青 龙 管 业
6 0 0 0 5 2 , 浙 江 广 厦
6 0 3 6 6 9 , 灵 康 药 业
0 0 2 5 9 8 , 山 东 章 鼓
6 0 1 9 2 9 , 吉 视 传 媒
3 0 0 2 8 9 , 利 德 曼
6 0 0 7 4 8 , 上 实 发 展
0 0 0 7 5 5 , 山 西 三 维
0 0 2 5 1 0 , 天 汽 模
0 0 0 7 3 1 , 四 川 美 丰
6 0 0 3 3 3 , 长 春 燃 气
0 0 2 2 6 9 , 美 邦 服 饰
0 0 2 3 2 8 , 新 朋 股 份
6 0 0 7 8 6 , 东 方 锅 炉
0 0 2 0 6 6 , 瑞 泰 科 技
0 0 0 5 8 2 , 北 部 湾 港
6 0 3 6 8 8 , 石 英 股 份
0 0 0 5 5 9 , 万 向 钱 潮
0 0 2 2 3 0 , 科 大 讯 飞
3 0 0 0 2 7 , 华 谊 兄 弟
0 0 2 3 7 2 , 伟 星 新 材
0 0 0 0 6 8 , * S T 华 赛
0 0 2 1 6 9 , 智 光 电 气
3 0 0 1 2 6 , 锐 奇 股 份
0 0 2 0 9 6 , 南 岭 民 爆
6 0 0 1 3 5 , 乐 凯 胶 片
3 0 0 4 5 0 , 先 导 股 份
0 0 0 8 7 8 , 云 南 铜 业
0 0 0 4 0 0 , 许 继 电 气
